"go"	"desc"	"cat"	"count"	"pct"	"p"	"total"	"pop_hit"	"pop_total"	"fold"	"bonferroni"	"benjamini"	"fdr"	"group"
"GO:0005829"	"cytosol"	"GOTERM_CC_DIRECT"	101	45.2914798206278	1.81199851485095e-21	218	3315	18224	2.54697718183957	6.01583506930515e-19	6.01583506930515e-19	2.45877294879055e-18	"same"
"GO:0005515"	"protein binding"	"GOTERM_MF_DIRECT"	172	77.1300448430493	1.11787275382323e-17	215	8785	16881	1.53725668753557	4.53856338052231e-15	4.53856338052231e-15	1.56259350767446e-14	"same"
"GO:0044822"	"poly(A) RNA binding"	"GOTERM_MF_DIRECT"	54	24.2152466367713	2.61468905418574e-17	215	1129	16881	3.75542875975858	1.06156375599941e-14	5.30781877999705e-15	3.65488480391408e-14	"same"
"GO:0005737"	"cytoplasm"	"GOTERM_CC_DIRECT"	116	52.0179372197309	3.40481753928654e-14	218	5222	18224	1.85698473993233	1.13158371561894e-11	5.65791857809472e-12	4.6251891205884e-11	"same"
"GO:0005654"	"nucleoplasm"	"GOTERM_CC_DIRECT"	76	34.0807174887892	1.27175377154919e-12	218	2784	18224	2.28208372877781	4.22224477603095e-10	1.40741529541799e-10	1.7256973627866e-09	"same"
"GO:0016020"	"membrane"	"GOTERM_CC_DIRECT"	63	28.2511210762332	3.99185232359641e-11	218	2200	18224	2.39389491242702	1.32529461849273e-08	3.31323657398741e-09	5.41670153175744e-08	"same"
"GO:0098609"	"cell-cell adhesion"	"GOTERM_BP_DIRECT"	20	8.96860986547085	1.79915525912455e-09	214	271	16792	5.79094389074732	2.08521878486412e-06	2.08521878486412e-06	2.89605291969863e-06	"same"
"GO:0098641"	"cadherin binding involved in cell-cell adhesion"	"GOTERM_MF_DIRECT"	20	8.96860986547085	5.47418657519673e-09	215	290	16881	5.414915797915	2.22251727499678e-06	7.4083964052285e-07	7.65196935814672e-06	"same"
"GO:0005913"	"cell-cell adherens junction"	"GOTERM_CC_DIRECT"	20	8.96860986547085	1.1785202907647e-08	218	323	18224	5.17624336069532	3.91267973953724e-06	7.82537172616671e-07	1.59918100206546e-05	"same"
"GO:0005634"	"nucleus"	"GOTERM_CC_DIRECT"	100	44.8430493273543	4.71592933834048e-07	218	5415	18224	1.54379187950562	0.000156556634675842	2.60944746908187e-05	0.000639921336764715	"same"
"GO:0030529"	"intracellular ribonucleoprotein complex"	"GOTERM_CC_DIRECT"	12	5.38116591928251	7.01483096154073e-07	218	136	18224	7.37614678899083	0.000232865352266187	3.32697993497e-05	0.000951866153786618	"same"
"GO:0070062"	"extracellular exosome"	"GOTERM_CC_DIRECT"	61	27.3542600896861	2.63862817664656e-06	218	2811	18224	1.81407902767307	0.000875642111891395	0.000109497218540922	0.00358040028379802	"same"
"GO:0043488"	"regulation of mRNA stability"	"GOTERM_BP_DIRECT"	10	4.48430493273543	6.42608215217659e-06	214	103	16792	7.61818346792487	0.00742018661445232	0.00371700135676922	0.0103433938430042	"same"
"GO:0006886"	"intracellular protein transport"	"GOTERM_BP_DIRECT"	14	6.2780269058296	1.030021578071e-05	214	236	16792	4.65483922065579	0.0118670362274701	0.00397143012021739	0.0165786976406679	"same"
"GO:0005925"	"focal adhesion"	"GOTERM_CC_DIRECT"	16	7.17488789237668	7.31106129664304e-05	218	391	18224	3.42082169924212	0.0239813760596012	0.00269343405172995	0.0991611319427266	"same"
"GO:0042802"	"identical protein binding"	"GOTERM_MF_DIRECT"	24	10.762331838565	8.1804231267404e-05	215	749	16881	2.51587543080697	0.0326683519772935	0.00826909052774105	0.114287540305069	"same"
"GO:0005730"	"nucleolus"	"GOTERM_CC_DIRECT"	25	11.2107623318386	9.11295978169784e-05	218	857	18224	2.43863273848394	0.0298032617605157	0.00302106787494605	0.123586584140012	"same"
"GO:0005524"	"ATP binding"	"GOTERM_MF_DIRECT"	37	16.5919282511211	0.000131396128714177	215	1495	16881	1.94321225791398	0.051952178470795	0.0106133434344616	0.183512626304305	"same"
"GO:0006281"	"DNA repair"	"GOTERM_BP_DIRECT"	12	5.38116591928251	0.000210490449822484	214	235	16792	4.00684032610857	0.216499916339181	0.0591730228921502	0.338283138944151	"same"
"GO:0003723"	"RNA binding"	"GOTERM_MF_DIRECT"	19	8.52017937219731	0.000219760351776137	215	547	16881	2.72725649419668	0.0853671106723312	0.0147620414256083	0.306749426835085	"same"
"GO:0008536"	"Ran GTPase binding"	"GOTERM_MF_DIRECT"	5	2.24215246636771	0.000531342672583659	215	30	16881	13.0860465116279	0.194089397275489	0.03035578685139	0.740170049431332	"same"
"GO:0051301"	"cell division"	"GOTERM_BP_DIRECT"	14	6.2780269058296	0.000545590745851244	214	350	16792	3.13869158878505	0.468744516304955	0.118828006959676	0.874615538403178	"same"
"GO:0005739"	"mitochondrion"	"GOTERM_CC_DIRECT"	31	13.9013452914798	0.000546558574278177	218	1331	18224	1.94702196734193	0.165987637255119	0.0163652513249072	0.73910493307886	"same"
"GO:0045892"	"negative regulation of transcription, DNA-templated"	"GOTERM_BP_DIRECT"	17	7.62331838565022	0.000648349241123953	214	499	16792	2.6732343191055	0.528426579671763	0.117750231439707	1.03853875613262	"same"
"GO:0006260"	"DNA replication"	"GOTERM_BP_DIRECT"	9	4.03587443946188	0.000821667919412056	214	155	16792	4.55616520952668	0.614303533708008	0.127245217894848	1.31444563890667	"same"
"GO:0090263"	"positive regulation of canonical Wnt signaling pathway"	"GOTERM_BP_DIRECT"	8	3.58744394618834	0.000848754154945213	214	120	16792	5.23115264797508	0.626233408859992	0.115750017362255	1.35749911454321	"same"
"GO:0022624"	"proteasome accessory complex"	"GOTERM_CC_DIRECT"	4	1.79372197309417	0.00100092515790729	218	17	18224	19.6697247706422	0.28285237773219	0.0273258363113229	1.34968435607861	"same"
"GO:1901796"	"regulation of signal transduction by p53 class mediator"	"GOTERM_BP_DIRECT"	8	3.58744394618834	0.00102933720455762	214	124	16792	5.06240578836298	0.696876886959128	0.124205694705169	1.64408532075269	"same"
"GO:0003725"	"double-stranded RNA binding"	"GOTERM_MF_DIRECT"	6	2.69058295964126	0.00104439593647532	215	61	16881	7.72291269538696	0.34573730205614	0.0516491887986773	1.45003273648704	"same"
"GO:0060071"	"Wnt signaling pathway, planar cell polarity pathway"	"GOTERM_BP_DIRECT"	7	3.1390134529148	0.00111836711691118	214	92	16792	5.9703372612759	0.726625556618479	0.121633444778593	1.78508866442186	"same"
